price,website,brand,size,target_kg_min,target_kg_max,units,unit_price
"1200.0","www.perfumeriasmiriam.com.ar","pampers","xg","12","15","10","120.0"
"1900.0","www.perfumeriasmiriam.com.ar","pampers","p","5","7.5","24","79.17"
"2546.0","www.morashop.ar","pampers","rn+","3","6","56","45.46"
"1800.0","www.morashop.ar","pampers","p","5","7.5","36","50.0"
"1283.0","www.morashop.ar","huggies","p","3.5","6","50","25.66"
"1771.0","www.morashop.ar","huggies","p","3.5","6","50","35.42"
"2190.92","www.morashop.ar","pampers","p","5","7.5","56","39.12"
"2100.0","www.morashop.ar","pampers","rn+","3","6","56","37.5"
"1345.0","www.morashop.ar","huggies","rn","0","4","34","39.56"
"1094.0","www.morashop.ar","huggies","rn","0","4","34","32.18"
"1313.0","www.morashop.ar","babysec","rn","0","4.5","20","65.65"
"3379.0","www.panalesonline.com.ar","pampers","m","6","9.5","72","46.93"
"3379.0","www.panalesonline.com.ar","pampers","g","9","12","72","46.93"
"3379.0","www.panalesonline.com.ar","pampers","xg","12","15","58","58.26"
"3379.0","www.panalesonline.com.ar","pampers","xxg","14","20","54","62.57"
"2039.0","www.panalesonline.com.ar","pampers","p","5","7.5","40","50.98"
"2039.0","www.panalesonline.com.ar","pampers","m","6","9.5","34","59.97"
"2039.0","www.panalesonline.com.ar","pampers","g","9","12","30","67.97"
"3419.0","www.panalesonline.com.ar","pampers","g","9","12","64","53.42"
"2039.0","www.panalesonline.com.ar","pampers","xg","12","15","26","78.42"
"3419.0","www.panalesonline.com.ar","pampers","xg","12","15","52","65.75"
"3419.0","www.panalesonline.com.ar","pampers","xxg","14","20","52","65.75"
"2039.0","www.panalesonline.com.ar","pampers","xxg","14","20","24","84.96"
"2289.0","www.panalesonline.com.ar","pampers","p","5","7.5","48","47.69"
"2289.0","www.panalesonline.com.ar","pampers","m","6","9.5","48","47.69"
"2289.0","www.panalesonline.com.ar","pampers","g","9","12","40","57.23"
"2289.0","www.panalesonline.com.ar","pampers","xg","12","15","34","67.32"
"2289.0","www.panalesonline.com.ar","pampers","xxg","14","20","32","71.53"
"1495.0","www.panalesonline.com.ar","pampers","p","5","7.5","36","41.53"
"4599.0","www.panalesonline.com.ar","pampers","g","9","12","110","41.81"
"4599.0","www.panalesonline.com.ar","pampers","xg","12","15","96","47.91"
"4599.0","www.panalesonline.com.ar","pampers","xxg","14","20","88","52.26"
"2229.0","www.panalesonline.com.ar","pampers","m","6","9.5","72","30.96"
"2229.0","www.panalesonline.com.ar","pampers","g","9","12","68","32.78"
"2229.0","www.panalesonline.com.ar","pampers","xg","12","15","58","38.43"
"2229.0","www.panalesonline.com.ar","pampers","xxg","14","20","54","41.28"
"2529.0","www.panalesonline.com.ar","huggies","m","5.5","9.5","68","37.19"
"2529.0","www.panalesonline.com.ar","huggies","g","9","12.5","60","42.15"
"2529.0","www.panalesonline.com.ar","huggies","xg","12","15","52","48.63"
"2529.0","www.panalesonline.com.ar","huggies","xxg","14","20","50","50.58"
"2529.0","www.panalesonline.com.ar","huggies","xxg","14","20","48","52.69"
"535.0","www.panalesonline.com.ar","pampers","p","5","7.5","30","17.83"
"1510.0","www.panalesonline.com.ar","pampers","rn","0","4.5","36","41.94"
"1489.0","www.panalesonline.com.ar","huggies","rn","0","4","34","43.79"
"2159.0","www.panalesonline.com.ar","huggies","m","5.5","9.5","68","31.75"
"2159.0","www.panalesonline.com.ar","huggies","g","9","12.5","60","35.98"
"2159.0","www.panalesonline.com.ar","huggies","xg","12","15","52","41.52"
"2159.0","www.panalesonline.com.ar","huggies","xxg","14","20","50","43.18"
"2015.0","www.panalesonline.com.ar","estrella","m","6","9.5","44","45.8"
"2015.0","www.panalesonline.com.ar","estrella","g","9","12","40","50.38"
"3289.0","www.panalesonline.com.ar","estrella","g","9","12","68","48.37"
"2015.0","www.panalesonline.com.ar","estrella","xg","12","15","36","55.97"
"3289.0","www.panalesonline.com.ar","estrella","xg","12","15","58","56.71"
